"Campaign name",Age,Gender,Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result Type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)","Clicks (all)","Reporting starts","Reporting ends"
"31 December Engagement campaign",65+,female,2024-12-26,completed,campaign,,"7-day click or 1-day view",,,156,156,,-,-,-,0.1097989,2,2024-12-26,2024-12-26
"31 December Engagement campaign",55-64,male,2024-12-26,completed,campaign,,"7-day click or 1-day view",,,36,36,,-,-,-,0.03992687,0,2024-12-26,2024-12-26
"31 December Engagement campaign",35-44,female,2024-12-26,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",2,588,637,0.21959781,-,-,-,0.43919561,10,2024-12-26,2024-12-26
"31 December Engagement campaign",25-34,unknown,2024-12-26,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",3,1520,1636,0.19630713,-,-,-,0.58892139,17,2024-12-26,2024-12-26
"31 December Engagement campaign",18-24,female,2024-12-26,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",11,4129,4614,0.2477281,-,-,-,2.72500914,41,2024-12-26,2024-12-26
"31 December Engagement campaign",25-34,male,2024-12-26,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",3,1500,1586,0.32606947,-,-,-,0.97820841,18,2024-12-26,2024-12-26
"31 December Engagement campaign",25-34,female,2024-12-26,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",6,2207,2548,0.236234,-,-,-,1.41740402,39,2024-12-26,2024-12-26
"31 December Engagement campaign",65+,unknown,2024-12-26,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,33,33,0.00998172,-,-,-,0.00998172,0,2024-12-26,2024-12-26
"31 December Engagement campaign",45-54,unknown,2024-12-26,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,126,157,0.08983547,-,-,-,0.08983547,1,2024-12-26,2024-12-26
"31 December Engagement campaign",18-24,unknown,2024-12-26,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",10,4693,5173,0.26651188,-,-,-,2.66511883,39,2024-12-26,2024-12-26
"31 December Engagement campaign",45-54,male,2024-12-26,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,118,121,0.09981718,-,-,-,0.09981718,1,2024-12-26,2024-12-26
"31 December Engagement campaign",18-24,male,2024-12-26,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,1839,1930,0.99817185,-,-,-,0.99817185,12,2024-12-26,2024-12-26
